"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Megan Hunt","Flavoured Iced Latte - Hazelnut","1","£2.75","York","Card","30394340766774","07/07/2025"
"Joseph Mitchell","Flavoured Iced Latte - Hazelnut","2","£5.5","Chesterfield","Cash","","17/07/2025"
"Pamela Evans","Latte","3","£6.45","Durham","Card","4046292710003741","16/07/2025"
"Donald Cunningham","Large Latte","1","£2.45","Chesterfield","Card","370624729716901","16/07/2025"
"Sean Sullivan","Mocha","2","£5.5","Epsom","Card","2226215471376549","10/07/2025"
"Carlos Chavez","Cappuccino","2","£4.7","Durham","Cash","","19/07/2025"
"Amanda Cain","Latte","1","£2.15","Epsom","Card","30344058259439","06/07/2025"
"Linda Todd","Large Latte","3","£7.35","Chesterfield","Cash","","27/06/2025"
"Deborah Davis DDS","Mocha","2","£5.5","Durham","Card","6551844531498906","19/07/2025"
"Amanda Hayden","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Cash","","27/06/2025"
"Fernando Edwards","Mocha","2","£5.5","Epsom","Cash","","01/07/2025"
"Christopher Baker","Cappuccino","1","£2.35","York","","","11/07/2025"
"Kristin Howard","Latte","2","£4.3","York","Card","30338348016799","18/07/2025"
"Charles Manning","Mocha","3","£8.25","Chesterfield","Card","JCB 15 digit | Frank Rodriguez | 213141717968924 02/28 | CVC: 597 | ","03/07/2025"
"Jennifer Ponce","Flavoured Iced Latte - Hazelnut","2","£5.5","Epsom","Card","3565276685193218",""
"Patricia Powell","Espresso","2","£3.9","Chesterfield","Cash","","25/06/2025"
"Dr. Robin Bauer","Large Latte","2","£4.9","Chesterfield","Cash","","23/06/2025"
"Michael Smith","Mocha","1","£2.75","Brighton","Cash","","23/06/2025"
"Lisa Hill","Flavoured Iced Latte - Hazelnut","","£8.25","York","Card","501885759263","04/07/2025"
"Christine Martin","Mocha","1","£2.75","York","Cash","","18/07/2025"
"","Large Latte","2","£4.9","Brighton","Cash","","16/07/2025"
"","Large Latte","2","£4.9","Chesterfield","Card","4181939523580763036","19/07/2025"
"Charles Hernandez","Espresso","2","£3.9","York","Card","3550238237782556","11/07/2025"
"Nicholas Hernandez","","1","£2.75","Epsom","Cash","","08/07/2025"
"Loretta Callahan","Large Latte","3","£7.35","Chesterfield","Cash","","05/07/2025"
"Stephen Kelly","Latte","1","£2.15","York","Card","501864288920","28/06/2025"
"Erin Bailey","Cappuccino","1","£2.35","York","Cash","","20/07/2025"
"Richard Foley","Latte","1","£2.15","","Card","502069371537","11/07/2025"
"Daniel Padilla","Latte","","£6.45","Chesterfield","Cash","","28/06/2025"
"John Gallagher","Flavoured Iced Latte - Caramel","2","£5.5","Epsom","Card","4283228139122773484","15/07/2025"
"Justin Davis","Cappuccino","","£7.05","Brighton","Cash","","29/06/2025"
"Ashley Williams","Flavoured Iced Latte - Hazelnut","3","£8.25","Epsom","Card","180089746709653","03/07/2025"
"Selena Graham","Flavoured Iced Latte - Caramel","1","£2.75","","Cash","","07/07/2025"
"Toni Velasquez","Flavoured Iced Latte - Hazelnut","1","£2.75","York","Card","JCB 16 digit | Eric Fry | 3528448205257759 05/31 | CVC: 609 | ","15/07/2025"
"John Brown","Cappuccino","2","£4.7","York","Card","4609686070462749480","14/07/2025"
"Steven Nguyen Jr.","Flavoured Iced Latte - Hazelnut","3","£8.25","","Cash","","14/07/2025"
"Phillip Casey","Cappuccino","2","£4.7","Chesterfield","Cash","","15/07/2025"
"Amanda Hanson","Flavoured Iced Latte - Caramel","1","£2.75","York","Cash","","29/06/2025"
"Maria Wheeler","Flavoured Iced Latte - Hazelnut","2","£5.5","Brighton","Card","4354006810318","23/06/2025"
"Mr. Richard Contreras","Mocha","1","£2.75","York","Card","VISA 19 digit | Thomas Ray | 4463771916917531691 05/30 | CVC: 589 | ","10/07/2025"
"Ruth Payne","Flavoured Iced Latte - Caramel","3","£8.25","Epsom","Card","4937918655380361","27/06/2025"
"Victor Hoffman","Flavoured Iced Latte - Hazelnut","1","£2.75","Epsom","Cash","","05/07/2025"
"Heather Wall","Latte","1","£2.15","Durham","Card","4039470717400","23/06/2025"
"Rodney Harrison","Flavoured Iced Latte - Hazelnut","3","£8.25","Epsom","Card","502030451368","03/07/2025"
"Mary Mitchell","Cappuccino","1","£2.35","Epsom","Card","VISA 16 digit | David Turner | 4090741805552165 11/26 | CVC: 946 | ","02/07/2025"
"Courtney Curry","Mocha","1","£2.75","Durham","Card","3577275598443088","11/07/2025"
"Lori Burke","Espresso","2","£3.9","Chesterfield","Cash","","04/07/2025"
"Andrea Brock","Mocha","1","£2.75","","Cash","","27/06/2025"
"Kristin Ritter","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Cash","","14/07/2025"
"Ashley Jenkins","Cappuccino","2","£4.7","Brighton","Cash","","18/07/2025"
"James Sherman","Latte","1","£2.15","Durham","Cash","","03/07/2025"
"Paul James","Large Latte","2","£4.9","Durham","Card","3540780217002151","16/07/2025"
"Jacob Perez","Latte","1","£2.15","Chesterfield","Card","Maestro | Lee Parsons | 571943948034 07/34 | CVV: 774 | ","14/07/2025"
"Cole Jordan","Large Latte","1","£2.45","York","Card","6518024833137344","06/07/2025"
"Elizabeth Morse","Espresso","3","£5.85","Brighton","Cash","","28/06/2025"
"Elizabeth Little","Cappuccino","1","£2.35","Epsom","Cash","","23/06/2025"
"Mr. Herbert Moore Jr.","Large Latte","1","£2.45","Brighton","Cash","","15/07/2025"
"David Rodriguez","Mocha","1","£2.75","York","Card","4165619173518","15/07/2025"
"Diane Small","Large Latte","2","£4.9","Brighton","Cash","","25/06/2025"
"Christopher Clark","Flavoured Iced Latte - Hazelnut","3","£8.25","Brighton","Card","4159760067474087938","10/07/2025"
"Bryan Bruce","Flavoured Iced Latte - Caramel","1","£2.75","Epsom","Cash","","12/07/2025"
"Christopher Blackwell","Large Latte","1","£2.45","Chesterfield","Cash","","17/07/2025"
"Kaitlyn Jones","Latte","3","£6.45","York","Card","4622219185200181","19/07/2025"
"Amanda May","Flavoured Iced Latte - Caramel","3","£8.25","Durham","Card","VISA 16 digit | Alexis Brown | 4713433531598731 11/31 | CVC: 728 | ","01/07/2025"
"Grant Murphy","Mocha","2","£5.5","Brighton","Card","2437463093272069","18/07/2025"
"Brian Avery","Mocha","1","£2.75","Epsom","Card","4772623348547","11/07/2025"
"Kristine Berger","Large Latte","3","£7.35","","Card","6011277164610691","24/06/2025"
"Mitchell Nichols","Flavoured Iced Latte - Caramel","1","","Epsom","Card","2248611855031482","15/07/2025"
"","Cappuccino","1","£2.35","Brighton","Card","4830667443010","11/07/2025"
