"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Brandy Johnson","Large Latte","2","£4.9","","Cash","","03/07/2025"
"Robert Smith","Espresso","3","£5.85","Brighton","Card","Diners Club / Carte Blanche | Tiffany Williams | 30364596095970 06/27 | CVC: 705 | ","08/07/2025"
"Denise Duke","Mocha","2","£5.5","Chesterfield","Card","30200556371896","10/07/2025"
"James Smith","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Card","060409006339","30/06/2025"
"Jason Carter","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Card","2265997838935842","14/07/2025"
"","Flavoured Iced Latte - Hazelnut","2","£5.5","Durham","Cash","","30/06/2025"
"Stephanie Anderson","Cappuccino","1","£2.35","Durham","Cash","","28/06/2025"
"Jesse Powers","Flavoured Iced Latte - Hazelnut","3","£8.25","York","Card","JCB 16 digit | Amanda Long | 3501015228201097 08/27 | CVC: 748 | ","09/07/2025"
"Jamie Sheppard","Latte","1","£2.15","Durham","Card","4169123103658807568","13/07/2025"
"Nicholas Barnett","Flavoured Iced Latte - Caramel","2","£5.5","Epsom","","","01/07/2025"
"Kyle Cross","Cappuccino","3","£7.05","Chesterfield","Cash","","28/06/2025"
"Jane Harper","Mocha","3","£8.25","Chesterfield","Cash","","20/06/2025"
"Brian Roach","Latte","3","£6.45","York","Card","348940478264573","11/07/2025"
"Craig Baird","Flavoured Iced Latte - Hazelnut","1","£2.75","Durham","Cash","","19/06/2025"
"Michael Craig","Mocha","3","£8.25","","Card","6011420169450503","03/07/2025"
"Lynn Rivera","Latte","2","","Chesterfield","Cash","","03/07/2025"
"Troy Ellis","Espresso","1","£1.95","Brighton","Card","JCB 16 digit | Samuel Le | 3563206445220623 01/29 | CVC: 859 | ","12/07/2025"
"Brandon Jennings","Cappuccino","1","£2.35","York","Cash","","09/07/2025"
"Stephanie Riley","Large Latte","1","£2.45","Chesterfield","Cash","","23/06/2025"
"Melvin Espinoza","Flavoured Iced Latte - Caramel","2","£5.5","Brighton","Cash","","03/07/2025"
"Barbara Murphy","Espresso","2","£3.9","York","Card","3544154519391249","11/07/2025"
"Michael Trevino","Large Latte","1","£2.45","York","Cash","","24/06/2025"
"Chad Weaver","Mocha","3","£8.25","York","Card","","18/06/2025"
"Catherine Reyes","Flavoured Iced Latte - Hazelnut","2","£5.5","Durham","Cash","","03/07/2025"
"Michael Berry","Cappuccino","3","£7.05","Brighton","Card","4876357179036659","24/06/2025"
"Donna Williams","Cappuccino","1","£2.35","Chesterfield","Cash","","01/07/2025"
"Tyler Ramos","Espresso","2","£3.9","York","Card","6011688147449488","22/06/2025"
"April Gilbert","Flavoured Iced Latte - Hazelnut","1","£2.75","Chesterfield","Card","4298053692939371635","15/06/2025"
"Sergio Scott","Flavoured Iced Latte - Hazelnut","1","£2.75","Epsom","Cash","","15/06/2025"
"Eric Ramirez","Cappuccino","1","£2.35","York","Cash","","11/07/2025"
"Brenda Strickland","Espresso","2","£3.9","York","Card","3574036281611982","23/06/2025"
"Heather Kirby","Cappuccino","1","£2.35","Brighton","Card","346860506103548","12/07/2025"
"Dr. Daniel Rivera","Espresso","2","£3.9","York","Card","JCB 15 digit | Heather Mills | 213119315547738 07/26 | CVC: 808 | ","08/07/2025"
"Lisa Lynch","Large Latte","1","£2.45","Chesterfield","Card","VISA 19 digit | David Palmer | 4557006887850260901 08/31 | CVC: 376 | ","30/06/2025"
"Regina Boyd","Flavoured Iced Latte - Hazelnut","3","£8.25","York","Cash","",""
"Theresa Fischer","Flavoured Iced Latte - Hazelnut","","£5.5","Chesterfield","Cash","","27/06/2025"
"Eric Coleman","Mocha","1","£2.75","York","Cash","","13/07/2025"
"Matthew Medina","Cappuccino","3","£7.05","Epsom","Cash","","16/06/2025"
"Claudia Silva","Cappuccino","1","£2.35","Durham","Cash","","20/06/2025"
"Brittany Perez","Large Latte","2","£4.9","Brighton","Cash","","24/06/2025"
"Scott Le","Flavoured Iced Latte - Caramel","3","£8.25","Chesterfield","Card","JCB 16 digit | William Rodgers | 3569173248421051 06/27 | CVC: 868 | ","18/06/2025"
"Karina Green","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Card","370066749861467","06/07/2025"
"Christopher Velasquez","Cappuccino","2","£4.7","York","Cash","","26/06/2025"
"Kelsey Hudson","Large Latte","3","£7.35","Brighton","Cash","","29/06/2025"
"Amanda Lynch","Flavoured Iced Latte - Caramel","1","£2.75","York","Cash","","16/06/2025"
"Todd Perez","Latte","1","","Durham","Cash","","01/07/2025"
"Gloria Cooper","Mocha","3","£8.25","York","Cash","","03/07/2025"
"Colin Le","Large Latte","2","£4.9","Brighton","","","21/06/2025"
"Richard Baldwin","Large Latte","3","£7.35","Epsom","Cash","","23/06/2025"
"Joanne Hart","Mocha","2","£5.5","Epsom","Card","4781162400775","19/06/2025"
"Kevin Fowler","Flavoured Iced Latte - Caramel","1","£2.75","Epsom","Cash","",""
"Carrie Taylor","Latte","3","£6.45","Durham","Card","3506740789399809","04/07/2025"
"Stacey Johnson","Flavoured Iced Latte - Caramel","2","£5.5","Chesterfield","Card","6524511153214275","24/06/2025"
"Justin Atkins","Cappuccino","2","£4.7","York","Cash","","15/06/2025"
"Andrew Jackson","Flavoured Iced Latte - Caramel","2","£5.5","Durham","Card","4675858039505034","25/06/2025"
"Ashley Cole","Large Latte","2","£4.9","York","Cash","","07/07/2025"
"Stephanie Johnson","Flavoured Iced Latte - Caramel","3","£8.25","Durham","Card","3529921281245079","26/06/2025"
"Vanessa Mitchell","Flavoured Iced Latte - Caramel","1","£2.75","Brighton","Card","4859003666428788319","13/07/2025"
"Joseph Martin","Latte","3","£6.45","Chesterfield","Card","4364492010642966","20/06/2025"
"Susan Michael","Cappuccino","3","","Chesterfield","Card","2720559124989823","29/06/2025"
"Mary Elliott","Large Latte","1","£2.45","Chesterfield","Cash","","14/07/2025"
"Nicholas Mcguire","Espresso","3","£5.85","Brighton","Cash","","20/06/2025"
"Kelsey Taylor","Large Latte","2","£4.9","Durham","Card","4335725009479189","15/06/2025"
"Maria Briggs","Flavoured Iced Latte - Caramel","1","£2.75","Durham","Card","2285437086678774","05/07/2025"
"Max Le","Latte","1","£2.15","York","Card","4939227239568","23/06/2025"
